nivel;classe;padrao;vb;gdac;gdac_80;gdac_100;auxilio_alimentacao;ativo_80;ativo_100;gdac_50;aposentado_50;vigencia
INTERMEDIÁRIO;ESPECIAL;V;2629.31;28.14;2251.2;2814.0;1175.0;6055.51;6618.3099999999995;1407.0;4036.31;01/01/2025
INTERMEDIÁRIO;ESPECIAL;IV;2599.42;27.96;2236.8;2796.0;1175.0;6011.22;6570.42;1398.0;3997.42;01/01/2025
INTERMEDIÁRIO;ESPECIAL;III;2569.87;27.76;2220.8;2776.0;1175.0;5965.67;6520.87;1388.0;3957.87;01/01/2025
INTERMEDIÁRIO;ESPECIAL;II;2540.65;27.51;2200.8;2751.0;1175.0;5916.450000000001;6466.65;1375.5;3916.15;01/01/2025
INTERMEDIÁRIO;ESPECIAL;I;2511.76;27.33;2186.4;2733.0;1175.0;5873.16;6419.76;1366.5;3878.26;01/01/2025
INTERMEDIÁRIO;C;V;2468.56;27.14;2171.2;2714.0;1175.0;5814.76;6357.5599999999995;1357.0;3825.56;01/01/2025
INTERMEDIÁRIO;C;IV;2440.49;26.98;2158.4;2698.0;1175.0;5773.889999999999;6313.49;1349.0;3789.49;01/01/2025
INTERMEDIÁRIO;C;III;2412.74;26.8;2144.0;2680.0;1175.0;5731.74;6267.74;1340.0;3752.74;01/01/2025
INTERMEDIÁRIO;C;II;2385.31;26.63;2130.4;2663.0;1175.0;5690.71;6223.3099999999995;1331.5;3716.81;01/01/2025
INTERMEDIÁRIO;C;I;2358.19;26.4;2112.0;2640.0;1175.0;5645.1900000000005;6173.1900000000005;1320.0;3678.19;01/01/2025
INTERMEDIÁRIO;B;V;2317.63;26.23;2098.4;2623.0;1175.0;5591.030000000001;6115.63;1311.5;3629.13;01/01/2025
INTERMEDIÁRIO;B;IV;2291.28;26.06;2084.8;2606.0;1175.0;5551.08;6072.280000000001;1303.0;3594.28;01/01/2025
INTERMEDIÁRIO;B;III;2265.23;25.91;2072.8;2591.0;1175.0;5513.030000000001;6031.23;1295.5;3560.73;01/01/2025
INTERMEDIÁRIO;B;II;2239.48;25.75;2060.0;2575.0;1175.0;5474.48;5989.48;1287.5;3526.98;01/01/2025
INTERMEDIÁRIO;B;I;2214.02;25.59;2047.2;2559.0;1175.0;5436.22;5948.02;1279.5;3493.52;01/01/2025
INTERMEDIÁRIO;A;V;2175.94;25.39;2031.2;2539.0;1175.0;5382.14;5889.9400000000005;1269.5;3445.44;01/01/2025
INTERMEDIÁRIO;A;IV;2151.2;25.24;2019.2;2524.0;1175.0;5345.4;5850.2;1262.0;3413.2;01/01/2025
INTERMEDIÁRIO;A;III;2126.74;25.1;2008.0;2510.0;1175.0;5309.74;5811.74;1255.0;3381.74;01/01/2025
INTERMEDIÁRIO;A;II;2102.56;24.95;1996.0;2495.0;1175.0;5273.5599999999995;5772.5599999999995;1247.5;3350.06;01/01/2025
INTERMEDIÁRIO;A;I;2078.66;24.81;1984.8;2481.0;1175.0;5238.46;5734.66;1240.5;3319.16;01/01/2025
